shopName,starScore,tasteScore,envScore,serScore,goodCount,middleCount,badCount
麦当劳(中船汇店),4.40,4.50,4.40,4.40,737,65,39
麦当劳(誉瀛外街分店),4.40,4.30,4.40,4.40,227,15,5
麦当劳(新港东店),,4.00,4.00,3.90,320,93,48
麦当劳(番禺永旺梦乐城店),4.00,4.00,4.00,4.00,22,4,1
麦当劳(星河湾商业街店),4.00,4.00,4.10,4.10,116,11,6
麦当劳(大石城商业中心店),4.20,4.20,4.20,4.20,213,41,17
麦当劳(同和圣地店),4.20,4.20,4.20,4.10,249,39,15
麦当劳(增城敏捷东樾府得来速分店),4.40,4.30,4.30,4.30,125,4,0
麦当劳(金纺城店),4.30,4.30,4.30,4.40,427,20,7
麦当劳(科学大道天石汇店),,4.50,4.50,4.50,226,27,14
麦当劳(新业路GSFSDT店),,4.50,4.40,4.40,166,8,5
麦当劳(海丝文体中心分店),,4.50,4.50,4.50,187,3,0
麦当劳(永利路店),,3.90,4.00,3.90,19,0,2
麦当劳(悦汇城店),4.20,4.30,4.20,4.20,279,43,10
麦当劳(天河北路祥龙花园店),4.00,4.00,4.00,4.00,34,3,2
麦当劳(京港澳高速瓦窑岗东区),,4.40,4.50,4.50,188,4,1
麦当劳(合景得来速店),,4.40,4.40,4.40,224,11,3
麦当劳(花都建设北路第二店),4.20,4.20,4.20,4.20,195,10,1
麦当劳(新市百信店),4.10,4.20,4.20,4.10,353,76,24
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
,, , , ,0,0,0
麦当劳(开源大道东荟城DT店),4.30,4.20,4.20,4.30,217,26,10
麦当劳(广钢新城分店),4.30,4.30,4.30,4.30,249,26,15
麦当劳(一德路店),4.40,4.40,4.30,4.30,443,59,17
麦当劳(逸景路合生新天地店),4.40,4.40,4.40,4.40,86,0,0
麦当劳(富景店),4.30,4.30,4.30,4.30,410,82,27
麦当劳(云城东路云璟汇餐厅店),4.20,4.30,4.20,4.30,107,11,8
麦当劳(和业广场店),4.20,4.30,4.20,4.20,436,77,35
麦当劳(佛伦斯中心得来速分店),,3.90,3.90,3.90,133,3,1
麦当劳(福愉西路可逸江畔分店),4.40,4.50,4.40,4.40,134,4,3
麦当劳(新塘客运站店),4.40,4.40,4.40,4.40,212,12,3
麦当劳(芳村万象店),4.10,4.20,4.10,4.20,331,95,28
麦当劳(王府井店),4.00,4.10,4.00,4.00,339,91,45
麦当劳(圣鑫商务中心店),,4.50,4.50,4.60,247,1,2
麦当劳(国际大厦店),4.10,4.10,4.10,4.10,284,69,24
麦当劳(白云城投大厦店),4.40,4.30,4.30,4.30,108,7,1
麦当劳(雄峰商城店),4.40,4.50,4.40,4.40,270,23,13
麦当劳(琶洲环汇广场店),,4.50,4.40,4.50,207,6,4
麦当劳(星港国际得来速分店),4.20,4.20,4.20,4.20,90,4,1
麦当劳(东晓南路二店),4.30,4.30,4.30,4.30,388,55,23
麦当劳(中山八路二分店),4.10,4.10,4.20,4.10,345,73,33
麦当劳(黄埔东路店),4.40,4.40,4.40,4.40,247,28,10
麦当劳(华观路DT店),,4.60,4.60,4.60,303,28,9
麦当劳(康王店),4.10,4.20,4.10,4.20,501,111,52
麦当劳(祈福万景峰分店),4.20,4.20,4.20,4.20,86,6,4
麦当劳(港航中心店),,4.70,4.60,4.50,148,18,2
麦当劳(虎门大桥南得来速店),,3.80,3.80,3.70,92,8,8
麦当劳(敏捷科创中心分店),,4.00,4.00,3.90,86,10,4
麦当劳(白云星悦商务广场店),4.20,4.20,4.20,4.20,108,8,5
麦当劳(广州新港东路第二分店),4.20,4.30,4.20,4.30,367,70,14
麦当劳(宝华路店),4.10,4.20,4.10,4.20,527,104,52
麦当劳(儿童公园店),4.10,4.20,4.10,4.10,246,38,33
麦当劳(黄埔东路佳纷天地店),,4.50,4.50,4.50,242,25,7
麦当劳(兴南大道得来速分店),4.20,4.20,4.20,4.10,133,5,4
麦当劳(迎星中路分店),4.20,4.30,4.20,4.20,77,8,8
麦当劳(华港分店),,4.50,4.60,4.60,259,20,10
麦当劳(同德华悦大厦店),4.40,4.40,4.40,4.40,84,1,2
麦当劳(珠江东路店),4.40,4.40,4.40,4.40,485,37,23
麦当劳(尚城万科里店),4.40,4.50,4.50,4.50,121,10,4
麦当劳(昊胜大厦店),4.40,4.30,4.30,4.40,183,1,8
麦当劳(沥滘路广州之窗分店),4.10,4.10,4.10,4.10,131,9,5
麦当劳(龙洞3店),4.10,4.10,4.10,4.10,206,31,11
麦当劳(东华得来速分店),4.20,4.20,4.10,4.20,127,5,2
麦当劳(广州天河珠江花城店),4.30,4.30,4.30,4.20,93,0,1
麦当劳(天河路第二店),4.30,4.40,4.30,4.30,365,50,6
麦当劳(中山大道中店),4.40,4.50,4.40,4.40,534,51,28
麦当劳(开源大道第二分店),,4.50,4.50,4.60,420,18,5
麦当劳(奥体南路店),4.40,4.40,4.40,4.40,682,46,16
麦当劳(天幕广场店),,4.50,4.50,4.50,233,20,7
麦当劳(自由人花园分店),4.10,4.10,4.10,4.20,88,4,3
麦当劳(科翔路分店),4.30,4.40,4.40,4.40,204,16,13
麦当劳(铭丰广场分店),,4.40,4.40,4.40,231,8,2
